,devices,temperature,speed,distance,pressure,efficiency
0,1,70,100,70,0.0,1.34
1,2,70,100,70,0.0,1.8
2,3,70,100,70,0.0,1.86
3,4,70,100,70,0.0,1.58
4,5,70,100,70,0.0,1.01
5,6,70,100,70,0.0,1.86
6,7,70,125,70,0.0,1.54
7,8,70,125,70,0.0,1.82
8,9,70,125,70,0.0,1.43
9,10,70,125,70,0.0,1.09
10,11,70,125,70,0.0,1.54
11,12,70,150,70,0.0,5.28
12,13,70,150,70,0.0,5.43
13,14,70,150,70,0.0,5.93
14,15,70,150,70,0.0,5.61
15,16,70,150,70,0.0,5.45
16,17,70,150,70,0.0,3.59
17,18,70,150,70,0.0,5.34
18,19,70,150,70,0.0,4.83
19,20,70,150,70,0.0,3.37
20,21,70,150,70,0.0,4.56
21,22,70,200,70,0.0,3.76
22,23,70,200,70,0.0,2.37
23,24,70,200,70,0.0,2.09
24,25,70,200,70,0.0,1.51
25,26,70,200,70,0.0,1.38
26,27,70,200,70,0.0,3.23
27,28,70,200,70,0.0,4.2
28,29,70,200,70,0.0,3.89
29,30,70,300,70,0.0,0.93
30,31,70,300,70,0.0,0.58
31,32,70,300,70,0.0,1.03
32,33,70,300,70,0.0,1.31
33,34,70,300,70,0.0,1.28
34,35,50,150,70,0.0,6.0
35,36,50,150,70,0.0,4.94
36,37,50,150,70,0.0,6.11
37,38,50,150,70,0.0,6.85
38,39,50,150,70,0.0,5.24
39,40,50,150,70,0.0,6.7
40,41,50,150,70,0.0,6.71
41,42,50,150,70,0.0,6.92
42,43,50,150,70,0.0,6.9
43,44,50,150,70,0.0,6.91
44,45,50,150,70,22501.85049,6.9
45,46,50,150,70,22501.85049,7.66
46,47,50,150,70,22501.85049,7.69
47,48,50,150,70,22501.85049,6.65
48,49,50,150,70,22501.85049,7.15
49,50,50,150,70,22501.85049,6.44
50,51,50,150,70,22501.85049,6.3
51,52,50,150,70,22501.85049,6.48
52,53,50,150,70,22501.85049,6.5
53,54,50,150,70,22501.85049,7.0
54,55,50,150,70,22501.85049,6.87
55,56,60,150,70,0.0,5.62
56,57,60,150,70,0.0,1.24
57,58,60,150,70,0.0,5.57
58,59,60,150,70,0.0,2.88
59,60,60,150,70,0.0,1.33
60,61,80,150,70,0.0,3.47
61,62,80,150,70,0.0,3.02
62,63,80,150,70,0.0,3.48
63,64,80,150,70,0.0,2.81
64,65,80,150,70,0.0,5.35
65,66,90,150,70,0.0,1.56
66,67,90,150,70,0.0,1.41
67,68,90,150,70,0.0,1.01
68,69,90,150,70,0.0,1.36
69,70,90,150,70,0.0,1.73
70,71,50,150,70,52504.31781,9.61
71,72,50,150,70,52504.31781,9.27
72,73,50,150,70,52504.31781,9.31
73,74,50,150,70,52504.31781,9.07
74,75,50,150,70,52504.31781,9.01
75,76,50,150,70,52504.31781,8.96
76,77,50,150,70,52504.31781,9.86
77,78,50,150,70,52504.31781,9.73
78,79,50,150,70,52504.31781,9.66
79,80,50,150,70,52504.31781,8.84
80,81,50,150,70,52504.31781,9.23
81,82,50,150,70,75006.1683,5.47
82,83,50,150,70,75006.1683,3.05
83,84,50,150,70,75006.1683,3.24
84,85,50,150,70,75006.1683,3.16
85,86,50,150,70,75006.1683,4.29
86,87,50,150,70,75006.1683,5.46
87,88,50,150,70,75006.1683,4.94
88,89,50,150,70,75006.1683,5.07
89,90,50,150,70,75006.1683,4.8
90,91,50,150,70,75006.1683,4.62
91,92,70,150,50,0.0,4.03
92,93,70,150,50,0.0,3.67
93,94,70,150,50,0.0,0.73
94,95,70,150,50,0.0,1.73
95,96,70,150,50,0.0,4.17
96,97,70,150,60,0.0,7.0
97,98,70,150,60,0.0,2.87
98,99,70,150,60,0.0,5.4
99,100,70,150,60,0.0,1.77
100,101,70,150,60,0.0,1.33
101,102,70,150,80,0.0,1.36
102,103,70,150,80,0.0,3.23
103,104,70,150,80,0.0,1.13
104,105,70,150,80,0.0,1.04
105,106,70,150,80,0.0,1.37
