Temperature,Speed,Distance,Pressure,Efficiency
1,70,100,7,0,1.34
2,70,100,7,0,1.8
3,70,100,7,0,1.86
4,70,100,7,0,1.58
5,70,100,7,0,1.01
6,70,100,7,0,1.86
7,70,125,7,0,1.54
8,70,125,7,0,1.82
9,70,125,7,0,1.43
10,70,125,7,0,1.09
11,70,125,7,0,1.54
12,70,150,7,0,5.28
13,70,150,7,0,5.43
14,70,150,7,0,5.93
15,70,150,7,0,5.61
16,70,150,7,0,5.45
17,70,150,7,0,3.59
18,70,150,7,0,5.34
19,70,150,7,0,4.83
20,70,150,7,0,3.37
21,70,150,7,0,4.56
22,70,200,7,0,3.76
23,70,200,7,0,2.37
24,70,200,7,0,2.09
25,70,200,7,0,1.51
26,70,200,7,0,1.38
27,70,200,7,0,3.23
28,70,200,7,0,4.2
29,70,200,7,0,3.89
30,70,300,7,0,0.93
31,70,300,7,0,0.58
32,70,300,7,0,1.03
33,70,300,7,0,1.31
34,70,300,7,0,1.28
35,50,150,7,0,6
36,50,150,7,0,4.94
37,50,150,7,0,6.11
38,50,150,7,0,6.85
39,50,150,7,0,5.24
40,50,150,7,0,6.7
41,50,150,7,0,6.71
42,50,150,7,0,6.92
43,50,150,7,0,6.9
44,50,150,7,0,6.91
45,50,150,7,3,6.9
46,50,150,7,3,7.66
47,50,150,7,3,7.69
48,50,150,7,3,6.65
49,50,150,7,3,7.15
50,50,150,7,3,6.44
51,50,150,7,3,6.3
52,50,150,7,3,6.48
53,50,150,7,3,6.5
54,50,150,7,3,7
55,50,150,7,3,6.87
56,60,150,7,0,5.62
57,60,150,7,0,1.24
58,60,150,7,0,5.57
59,60,150,7,0,2.88
60,60,150,7,0,1.33
61,80,150,7,0,3.47
62,80,150,7,0,3.02
63,80,150,7,0,3.48
64,80,150,7,0,2.81
65,80,150,7,0,5.35
66,90,150,7,0,1.56
67,90,150,7,0,1.41
68,90,150,7,0,1.01
69,90,150,7,0,1.36
70,90,150,7,0,1.73
71,50,150,7,7,9.61
72,50,150,7,7,9.27
73,50,150,7,7,9.31
74,50,150,7,7,9.07
75,50,150,7,7,9.01
76,50,150,7,7,8.96
77,50,150,7,7,9.86
78,50,150,7,7,9.73
79,50,150,7,7,9.66
80,50,150,7,7,8.84
81,50,150,7,7,9.23
82,50,150,7,10,5.47
83,50,150,7,10,3.05
84,50,150,7,10,3.24
85,50,150,7,10,3.16
86,50,150,7,10,4.29
87,50,150,7,10,5.46
88,50,150,7,10,4.94
89,50,150,7,10,5.07
90,50,150,7,10,4.8
91,50,150,7,10,4.62
92,70,150,5,0,4.03
93,70,150,5,0,3.67
94,70,150,5,0,0.73
95,70,150,5,0,1.73
96,70,150,5,0,4.17
97,70,150,6,0,7
98,70,150,6,0,2.87
99,70,150,6,0,5.4
100,70,150,6,0,1.77
101,70,150,6,0,1.33
102,70,150,8,0,1.36
103,70,150,8,0,3.23
104,70,150,8,0,1.13
105,70,150,8,0,1.04
106,70,150,8,0,1.37
